Lowest false negatives in test-set confusion matrix so far
Near-identical performance in CV results

Optimal Hyperparameters: {'n_estimators': 1991, 'max_depth': 10, 'learning_rate': 0.048315714286293394, 'subsample': 0.8716062030455591, 'colsample_bytree': 0.7443008409874943, 'colsample_bylevel': 0.6307280531519474, 'reg_alpha': 1.2219974561574183, 'reg_lambda': 5.293562555251874, 'gamma': 0.34483645155447473, 'min_child_weight': 19, 'scale_pos_weight': 1.803931441549998}
Cross Validation Results: Mean ROC AUC: 0.8980, Mean PR AUC: 0.8932
Mean FNs: 5499.40, Mean FPs: 5386.00
ROC AUC: 0.8999  <- ok so 90%
Precision-Recall AUC: 0.8960
Pathogenic F1-Score: 0.8050
Optimal threshold for pathogenic detection: 0.507
Performance with optimal threshold:
              precision    recall  f1-score   support

           0       0.84      0.83      0.83     41774
           1       0.80      0.81      0.81     34814

    accuracy                           0.82     76588
   macro avg       0.82      0.82      0.82     76588
weighted avg       0.82      0.82      0.82     76588
Confusion Matrix:
[[34572  7202]
 [ 6491 28323]]
----------------------------------------------
tata_count: 0.0000
branch_pt_count: 0.0000
sp5_count: 0.0000
PTR_motif_count: 0.0000
ubiq_domain_cluster_delta: 0.0000
TF_motif_count: 0.0000
sp3_count: 0.0000
creb_count: 0.0000
nfkb_count: 0.0000
ap1_count: 0.0000
ctcf_count: 0.0000
caat_count: 0.0000
polyad_count: 0.0000
sp1_count: 0.0000
TOTAL_DNA_MOTIF_COUNT: 0.0000
0.5xScale_varState_delta__5UTR_log2: 0.0000
ubiq_score_delta: 0.0000
ubiq_clusters_composite_delta: 0.0000
1xScale_varState_delta__3UTR_log2: 0.0000
nfkb_score: 0.0006
phos_score_delta: 0.0008
0.5xScale_varState_delta__3UTR_log2: 0.0009
NES_cluster_delta: 0.0009
phos_domain_cluster_delta: 0.0009
2xScale_varState_delta__Exon_rawc: 0.0010
NES_count_delta: 0.0010
2xScale_varSubgr_delta__coding_log2: 0.0010
Total_Nuclear_Cluster_delta: 0.0010
Hairpins: 0.0010
0.5xScale_varState_delta__Intron_log2: 0.0010
0.5xScale_varSubgr_delta__noncoding_rawc: 0.0010
1xScale_Exon_to_Intron: 0.0010
0.5xScale_varSubgr_delta__regulatory_log2: 0.0010
Nuclear_Signal_delta: 0.0010
1433_score_delta: 0.0010
1xScale_varSubgr_delta__coding_log2: 0.0010
0.5xScale_varState_delta__Exon_log2: 0.0010
2xScale_varSubgr_delta__coding_rawc: 0.0011
2xScale_varState_delta__CDS_log2: 0.0011
0.5xScale_Exon_to_Intron: 0.0011
1433_clusters_delta: 0.0011
0.5xScale_varSubgr_delta__processing_log2: 0.0011
1xScale_RefNB1_CDS_rawc: 0.0011
1xScale_varSubgr_delta__noncoding_rawc: 0.0011
2xScale_RefNB1_CDS_rawc: 0.0011
2xScale_varSubgr_delta__noncoding_log2: 0.0011
1xScale_varSubgr_delta__coding_rawc: 0.0011
glyc_score_delta: 0.0011
0.5xScale_varSubgr_delta__noncoding_log2: 0.0011
2xScale_RefNB1_coding_rawc: 0.0011
1xScale_varSubgr_delta__regulatory_log2: 0.0011
1xScale_varSubgr_delta__processing_rawc: 0.0011
1xScale_varSubgr_delta__processing_log2: 0.0011
Total_PTM_cluster_composite_delta: 0.0011
glyc_domain_cluster_delta: 0.0011
glyc_clusters_composite_delta: 0.0011
2xScale_varSubgr_delta__processing_log2: 0.0011
2xScale_varState_delta__Intron_log2: 0.0011
1xScale_Intron_to_CDS: 0.0011
1xScale_varState_delta__Exon_log2: 0.0011
1xScale_RefNB1_noncoding_rawc: 0.0011
1xScale_varState_delta__CDS_log2: 0.0011
0.5xScale_varSubgr_delta__transcribable_rawc: 0.0011
1433_cluster_domain_delta: 0.0011
1xScale_varSubgr_delta__noncoding_log2: 0.0011
