This model has the greatest balance between FN and FP, and the greatest CV performance
Therefore it's best suited for tasks involving pure discrimination for tasks that aren't necessarily clinically essential

Optimal Hyperparameters: {'n_estimators': 1677, 'max_depth': 10, 'learning_rate': 0.039293549864997175, 'subsample': 0.9969933786793387, 'colsample_bytree': 0.6482133739319931, 'colsample_bylevel': 0.6039302725209573, 'reg_alpha': 0.46607769424421325, 'reg_lambda': 3.441382674128201, 'gamma': 0.28487791075581864, 'min_child_weight': 2, 'scale_pos_weight': 1.6355990026202318}
Cross Validation Results: Mean ROC AUC: 0.8985, Mean PR AUC: 0.8938
Mean FNs: 5411.20, Mean FPs: 5466.60
ROC AUC: 0.9003
Precision-Recall AUC: 0.8967
Pathogenic F1-Score: 0.8059
Optimal threshold for pathogenic detection: 0.496
Performance with optimal threshold:
              precision    recall  f1-score   support

           0       0.84      0.84      0.84     41774
           1       0.81      0.81      0.81     34814

    accuracy                           0.82     76588
   macro avg       0.82      0.82      0.82     76588
weighted avg       0.82      0.82      0.82     76588
Confusion Matrix:
[[35023  6751]
 [ 6747 28067]]
----------------------------------------------
branch_pt_count: 0.0000
ap1_count: 0.0000
ctcf_count: 0.0000
caat_count: 0.0000
polyad_count: 0.0000
sp1_count: 0.0000
sp3_count: 0.0000
creb_count: 0.0000
nfkb_count: 0.0000
TOTAL_DNA_MOTIF_COUNT: 0.0000
ubiq_clusters_composite_delta: 0.0004
ubiq_score_delta: 0.0004
ubiq_domain_cluster_delta: 0.0005
TF_motif_count: 0.0007
NLS_cluster_delta: 0.0008
NES_count_delta: 0.0008
0.5xScale_varSubgr_delta__regulatory_log2: 0.0008
0.5xScale_varState_delta__Exon_log2: 0.0008
0.5xScale_varSubgr_delta__processing_log2: 0.0008
glyc_domain_cluster_delta: 0.0009
2xScale_varState_delta__CDS_log2: 0.0009
0.5xScale_varSubgr_delta__noncoding_log2: 0.0009
Nuclear_Signal_delta: 0.0009
1xScale_varState_delta__CDS_log2: 0.0009
2xScale_varSubgr_delta__processing_log2: 0.0009
2xScale_varState_delta__Intron_rawc: 0.0009
2xScale_varSubgr_delta__transcribable_log2: 0.0009
1433_clusters_delta: 0.0009
glyc_clusters_composite_delta: 0.0009
0.5xScale_varSubgr_delta__regulatory_rawc: 0.0009
1433_cluster_domain_delta: 0.0009
1xScale_Intron_to_Exon: 0.0009
phos_domain_cluster_delta: 0.0009
1433_score_delta: 0.0009
1xScale_varSubgr_delta__transcribable_log2: 0.0009
glyc_score_delta: 0.0009
Total_PTM_cluster_composite_delta: 0.0009
2xScale_RefNB1_regulatory_rawc: 0.0009
Total_Nuclear_Cluster_delta: 0.0009
1xScale_varSubgr_delta__processing_rawc: 0.0009
1xScale_varState_delta__Intron_log2: 0.0009
2xScale_varSubgr_delta__regulatory_log2: 0.0009
0.5xScale_varState_delta__CDS_rawc: 0.0010
1xScale_varSubgr_delta__regulatory_log2: 0.0010
1xScale_varState_delta__Intron_rawc: 0.0010
0.5xScale_varState_delta__CDS_log2: 0.0010
2xScale_varState_delta__Exon_log2: 0.0010
0.5xScale_Exon_to_Intron: 0.0010
NLS_count_delta: 0.0010
2xScale_varSubgr_delta__noncoding_log2: 0.0010
1xScale_RefNB1_coding_rawc: 0.0010
1xScale_varSubgr_delta__processing_log2: 0.0010
2xScale_varSubgr_delta__coding_log2: 0.0010
1xScale_varState_delta__Exon_log2: 0.0010
1xScale_varState_delta__Exon_rawc: 0.0010
1xScale_varSubgr_delta__coding_log2: 0.0010
2xScale_varState_delta__Exon_rawc: 0.0010
1xScale_Exon_to_Intron: 0.0010
2xScale_varState_delta__Intron_log2: 0.0010
FI_fold_composite: 0.0010
2xScale_RefNB1_transcribable_rawc: 0.0010
2xScale_varSubgr_delta__coding_rawc: 0.0010
1xScale_varSubgr_delta__noncoding_log2: 0.0010
0.5xScale_RefNB2_noncoding_rawc: 0.0010
0.5xScale_Intron_to_CDS: 0.0010
ubiq_count_delta: 0.0010
2xScale_varSubgr_delta__regulatory_rawc: 0.0010
0.5xScale_CDS_to_Exon: 0.0010
2xScale_varState_delta__CDS_rawc: 0.0010
0.5xScale_varState_delta__Intron_log2: 0.0010
1xScale_Intron_to_CDS: 0.0010
2xScale_RefNB2_noncoding_rawc: 0.0010
NES_cluster_delta: 0.0010
1xScale_varState_delta__CDS_rawc: 0.0010
FI_Stability_composite: 0.0010
0.5xScale_varSubgr_delta__noncoding_rawc: 0.0010
phos_score_delta: 0.0010
0.5xScale_varState_delta__Intron_rawc: 0.0010
0.5xScale_varSubgr_delta__transcribable_rawc: 0.0010
0.5xScale_Intron_to_Exon: 0.0010
2xScale_RefNB1_Intron_rawc: 0.0010
2xScale_RefNB1_noncoding_rawc: 0.0010
